age,Ageyear,dob,name,def,mid,att,height,weight,wins,fouls,goals,losses,red_card,total_pass,appsq,appearances,assists,yellow_card,interception,total_tackle,total_offside,total_clearance,big_chance_created,blocked_scoring_att,effective_head_clearance,error_lead_to_goal,accurate_long_balls,duel_won,duel_lost,aerial_won,won_tackle,aerial_lost,won_contest,ball_recovery,accurate_cross,total_through_ball,att_pen_goal,att_freekick_goal,big_chance_missed,total_scoring_att,ontarget_scoring_att,own_goals,clean_sheet,goals_conceded,last_man_tackle,clearance_off_line,saves,punches,goal_kicks,penalty_save,keeper_throws,good_high_claim,total_keeper_sweeper,stand_catch_dive_catch,wage_above_100
24,1994,12/1/94,Aaron Cresswell,1,0,0,184,82,29,68,0.03,16,1,51.97,3600,60,0,11,102,158,5,121,8,13,61,3,191,366,287,87,0.85,71,74,358,0.08,8,0,0,0,47,0.36,,,,,,,,,,,,,,no
33,1985,8/20/85,Aaron Lennon,0,1,0,186,86,23,32,0.26,8,0,18.13,1521,39,5,1,3,15,18,31,8,13,26,,,,,,,,,,,,0,1,16,72,0.39,,,,,,,,,,,,,,no
22,1996,12/31/96,Aaron Ramsey,0,1,0,178,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,yes
26,1992,11/5/92,Abdoulaye Doucouré,0,1,0,199,91,32,3,0,10,2,22.37,3844,62,0,3,,,,,,,,3,383,,,,,,,,,,,,,,,0,19,68,,,151,31,429,1,281,108,33,26,no
40,1978,11/16/78,Adam Federici,0,0,0,190,86,7,0,0,15,0,15.14,841,29,0,0,,,,,,,,2,94,,,,,,,,,,,,,,,0,4,40,,,92,24,234,0,131,32,3,10,no
33,1985,2/10/85,Adam Lallana,0,1,0,186,79,17,65,0.1,37,0,16.64,5184,72,4,9,77,173,23,76,6,29,49,0,35,335,383,63,0.71,105,51,264,0.28,4,0,0,3,81,0.3,,,,,,,,,,,,,,no
34,1984,9/9/84,Adam Smith,0,1,0,193,94,32,3,0,80,0,24.52,21316,146,1,7,,,,,,,,11,1211,,,,,,,,,,,,,,,0,27,242,,,441,80,1319,2,551,324,84,63,no
30,1988,1/12/88,Adnan Januzaj,0,1,0,193,82,0,6,0,4,0,35.2,25,5,0,1,21,9,1,45,0,0,22,1,19,41,15,22,0.44,5,4,34,0,0,,,,,,0,0,10,0,0,,,,,,,,,no
37,1981,7/28/81,Adrian Mariappa,1,0,0,188,74,254,164,0.05,111,0,38.63,207936,456,40,39,540,681,1,469,14,88,121,1,1481,1079,715,104,0.7,93,77,1587,0.29,90,0,0,0,229,0.24,,,,,,,,,,,,,,no
34,1984,2/22/84,Ahmed Musa,0,0,1,185,91,145,292,22,50,2,38.75,64516,254,20,55,392,527,18,1135,20,40,531,2,655,1422,910,583,0.81,322,106,1154,0.2,12,,,,,,0,86,236,6,5,,,,,,,,,no
