dob,name,wage,weekwage,height,weight,wins,fouls,goals,losses,red_card,total_pass,appearances,goal_assist,yellow_card,att_hd_goal,att_lf_goal,att_rf_goal,total_cross,hit_woodwork,interception,total_tackle,total_offside,total_clearance,big_chance_created,blocked_scoring_att,effective_head_clearance,error_lead_to_goal,accurate_long_balls,duel_won,duel_lost,aerial_won,won_tackle,aerial_lost,won_contest,ball_recovery,accurate_cross,total_through_ball,att_pen_goal,att_freekick_goal,big_chance_missed,total_scoring_att,ontarget_scoring_att,own_goals,clean_sheet,goals_conceded,last_man_tackle,clearance_off_line,saves,punches,goal_kicks,penalty_save,keeper_throws,good_high_claim,total_keeper_sweeper,stand_catch_dive_catch
12/1/94,Aaron Cresswell," £50,000.00 ", £50.00 ,184cm,82kg,29,68,0.03,16,1,51.97,60,0,11,0,0,2,26,1,102,158,5,121,8,13,61,3,191,366,287,87,85%,71,74,358,8%,8,0,0,0,47,36%,,,,,,,,,,,,,
8/20/85,Aaron Lennon," £50,000.00 ", £50.00 ,186cm,86kg,23,32,0.26,8,0,18.13,39,5,1,3,6,1,20,2,3,15,18,31,8,13,26,,,,,,,,,,,,0,1,16,72,39%,,,,,,,,,,,,,
12/31/96,Aaron Ramsey," £110,000.00 ", £110.00 ,178cm,80kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,,,,,,0,0,0,0,0,,,,,,,,
11/5/92,Abdoulaye Doucour√©," £20,000.00 ", £20.00 ,199cm,91kg,32,3,0,10,2,22.37,62,0,3,,,,,,,,,,,,,3,383,,,,,,,,,,,,,,,0,19,68,,,151,31,429,1,281,108,33,26
11/16/78,Adam Federici," £30,000.00 ", £30.00 ,190cm,86kg,7,0,0,15,0,15.14,29,0,0,,,,,,,,,,,,,2,94,,,,,,,,,,,,,,,0,4,40,,,92,24,234,0,131,32,3,10
2/10/85,Adam Lallana," £55,000.00 ", £55.00 ,186cm,79kg,17,65,0.1,37,0,16.64,72,4,9,1,5,1,141,2,77,173,23,76,6,29,49,0,35,335,383,63,71%,105,51,264,28%,4,0,0,3,81,30%,,,,,,,,,,,,,
9/9/84,Adam Smith," £17,500.00 ", £17.50 ,193cm,94kg,32,3,0,80,0,24.52,146,1,7,,,,,,,,,,,,,11,"1,211",,,,,,,,,,,,,,,0,27,242,,,441,80,"1,319",2,551,324,84,63
1/12/88,Adnan Januzaj," £60,000.00 ", £60.00 ,193cm,82kg,0,6,0,4,0,35.2,5,0,1,0,0,0,0,0,21,9,1,45,0,0,22,1,19,41,15,22,44%,5,4,34,0%,0,,,,,,0,0,10,0,0,,,,,,,,
7/28/81,Adrian Mariappa," £7,000.00 ", £7.00 ,188cm,74kg,254,164,0.05,111,0,38.63,456,40,39,1,6,10,197,5,540,681,1,469,14,88,121,1,"1,481","1,079",715,104,70%,93,77,"1,587",29%,90,0,0,0,229,24%,,,,,,,,,,,,,
2/22/84,Ahmed Musa," £65,000.00 ", £65.00 ,185cm,91kg,145,292,22,50,2,38.75,254,20,55,7,2,13,519,8,392,527,18,"1,135",20,40,531,2,655,"1,422",910,583,81%,322,106,"1,154",20%,12,,,,,,0,86,236,6,5,,,,,,,,
5/28/92,Alberto Moreno," £65,000.00 ", £65.00 ,177cm,71kg,24,15,0.02,11,0,23.78,40,1,4,0,1,0,18,0,27,38,0,21,1,4,6,0,42,53,78,4,66%,21,7,75,17%,3,0,0,0,10,30%,,,,,,,,,,,,,
3/27/92,Aleksandar Kolarov," £69,000.00 ", £69.00 ,185cm,75kg,13,23,26,3,0,19.96,26,1,4,0,0,0,4,0,39,46,0,24,1,3,12,0,30,103,86,32,76%,22,14,88,25%,2,0,0,0,8,13%,,,,,,,,,,,,,
